Unnamed: 0,Performances,SMILES,Length
935,1.776097,O.[Sr],6.0
936,0.050934,O.[Sr],6.0
963,0.934434,O.[Ni],6.0
975,3.652854,O.[Na],6.0
976,2.879926,O.[Na],6.0
977,3.022697,O.[Na],6.0
978,3.29902,O.[Na],6.0
979,2.944911,O.[Na],6.0
980,4.571479,O.[Na],6.0
981,2.989608,O.[Na],6.0
982,2.608323,O.[Na],6.0
983,2.396739,O.[Na],6.0
984,5.396942,O.[Na],6.0
985,4.412058,O.[Na],6.0
986,3.534743,O.[Na],6.0
987,4.322347,O.[Na],6.0
988,3.768161,O.[Na],6.0
989,3.702488,O.[Na],6.0
990,2.044408,O.[Na],6.0
991,3.75072,O.[Na],6.0
992,1.854922,O.[Na],6.0
993,5.118831,O.[Na],6.0
994,3.014119,O.[Na],6.0
995,4.764288,O.[Na],6.0
996,3.70072,O.[Na],6.0
997,2.603011,O.[Na],6.0
998,2.5126,O.[Na],6.0
999,2.647001,O.[Na],6.0
1000,3.091895,O.[Na],6.0
1017,3.232082,O.[Li],6.0
1018,2.808276,O.[Li],6.0
1031,1.711059,O.[K],5.0
1032,1.643943,O.[K],5.0
1033,2.600546,O.[K],5.0
1034,1.414641,O.[K],5.0
1069,1.816418,O.[Ca],6.0
1070,2.714459,O.[Ca],6.0
1086,3.590049,O.[Ba],6.0
1087,1.785406,O.[Ba],6.0
1088,4.32624,O.[Ba],6.0
1089,3.798315,O.[Ba],6.0
1090,1.887301,O.[Ba],6.0
1152,2.74015,NCCN.[Zn],9.0
2105,2.781028,CO.[Na],7.0
3376,1.845736,C[O].[Pb],9.0
3380,0.960408,C[O].[Cu],9.0
4154,2.931811,[OH].[Zn],9.0
4155,4.017465,[OH].[Sn],9.0
4156,4.123345,[OH].[Sn],9.0
6870,2.744825,[O].[W],7.0
6871,2.727716,[O].[W],7.0
6878,1.496067,[O].[V],7.0
7174,1.221722,[Mo].[O],8.0
7175,3.192594,[Mo].[O],8.0
7176,1.915975,[Mo].[O],8.0
7177,2.240017,[Mo].[O],8.0
7178,2.321594,[Mo].[O],8.0
7179,2.553958,[Mo].[O],8.0
8014,0.337889,[Cu].[OH],9.0
